Id,Name,hed__Program_Plan__c,hed__Course__c
a0I8c00001XiOJIEA3,Gestion préventive des abus,,a0C8c00000XMMkPEAX
a0I8c00001XiS1rEAF,Gestion préventive des abus,,a0C8c00000XMMkPEAX
a0I8c00001XiS7hEAF,Groupes,,a0C8c00000XMMd2EAH
a0I8c00001XiS8TEAV,Grâce,,a0C8c00000XMMd4EAH
a0I8c00001XiS8FEAV,Histoire,,a0C8c00000XMMdBEAX
a0I8c00001XiS6kEAF,Histoire de l'Église I,,a0C8c00000XMMkTEAX
a0I8c00001XiRB6EAN,Histoire de l'Église I,,a0C8c00000XMMkTEAX
a0I8c00001XiOB9EAN,Histoire de l'Église I,,a0C8c00000XMMkVEAX
a0I8c00001XiS2SEAV,Histoire de l'Église I,,a0C8c00000XMMkTEAX
a0I8c00001XiS71EAF,Histoire de l'Église II,,a0C8c00000XMMkWEAX
a0I8c00001XiS2HEAV,Histoire de l'Église II,,a0C8c00000XMMkWEAX
a0I8c00001XiRBBEA3,Histoire de l'Église II,,a0C8c00000XMMkWEAX
a0I8c00001XiS9MEAV,Humilité,,a0C8c00000XMMcwEAH
a0I8c00001XiS8OEAV,Humilité,,a0C8c00000XMMcwEAH
a0I8c00001XiS8JEAV,Incarnation,,a0C8c00000XMMctEAH
a0I8c00001XiOICEA3,Incarner l'espérance,,a0C8c00000YK1qhEAD
a0I8c00001XiS7fEAF,Influence,,a0C8c00000XMMd1EAH
a0I8c00001XiS2YEAV,Initiation au grec biblique I et II,,a0C8c00000XMMYjEAP
a0I8c00001XiS7QEAV,Initiation à la recherche,,a0C8c00000XMMZLEA5
a0I8c00001XiOHcEAN,Interpréter la Bible,,a0C8c00000YK1qqEAD
a0I8c00001XiOHfEAN,Interpréter le Pentateuque et les livres historiques,,a0C8c00000YK1qkEAD
a0I8c00001XiOHkEAN,"Interpréter les poètes, sages et prophètes",,a0C8c00000YK1qlEAD
a0I8c00001XiOHbEAN,Interpréter les Évangiles,,a0C8c00000YK1qmEAD
a0I8c00001XiOHaEAN,Interpréter les épîtres,,a0C8c00000YK1qfEAD
a0ION000001676H2AQ,Intervention en situations de crise,,a0C8c00000XMMl8EAH
a0I8c00001XiODJEA3,Intervention en situations de crise,,a0C8c00000XMMl9EAH
a0I8c00001XiRBGEA3,Introduction à l'Église et sa mission,,a0C8c00000XMMlAEAX
a0I8c00001XiOBDEA3,Introduction à l'Église et sa mission,,a0C8c00000XMMlBEAX
a0I8c00001XiS6dEAF,Introduction à l'Église et sa mission,,a0C8c00000XMMlAEAX
a0I8c00001XiS2bEAF,Introduction à l'Église et sa mission,,a0C8c00000XMMlAEAX
a0I8c00001XiS3FEAV,Introduction à la Bible et son interprétation,,a0C8c00000YJhblEAD
a0I8c00001XiS2DEAV,Introduction à la Bible et son interprétation,,a0C8c00000YJhblEAD
a0I8c00001XiO9lEAF,Introduction à la Bible et son interprétation,,a0C8c00000YJhbqEAD
a0I8c00001XiR9FEAV,Introduction à la Bible et son interprétation,,a0C8c00000YJhblEAD
a0I8c00001XiOAyEAN,Introduction à la Bible et son interprétation,,a0C8c00000YJhbqEAD
a0I8c00001XiS7eEAF,Justice,,a0C8c00000XMMdDEAX
a0ION000001679V2AQ,"L'Église, la miséricorde et les marginaux",,a0C8c00000XMMmYEAX
a0I8c00001XiODOEA3,"L'Église, la miséricorde et les marginaux",,a0C8c00000XMMmZEAX
a0I8c00001XiS8eEAF,L'Évangile,,a0C8c00000XMMcxEAH
a0I8c00001XiS7lEAF,L'Évangile,,a0C8c00000XMMcxEAH
a0I8c00001XiS2GEAV,L'Évangile de Jésus-Christ,,a0C8c00000XMMirEAH
a0I8c00001XiS6cEAF,L'Évangile de Jésus-Christ,,a0C8c00000XMMirEAH
a0I8c00001XiR9PEAV,L'Évangile de Jésus-Christ,,a0C8c00000XMMirEAH
a0I8c00001XiO9dEAF,L'Évangile de Jésus-Christ,,a0C8c00000XMMisEAH
a0I8c00001XiOB3EAN,L'Évangile de Jésus-Christ,,a0C8c00000XMMisEAH
a0ION000001677t2AA,L'Évangile et les grandes religions du monde,,a0C8c00000XMMlKEAX
a0I8c00001XiODKEA3,L'Évangile et les grandes religions du monde,,a0C8c00000XMMlLEAX
a0I8c00001XiS6eEAF,Le leader et son influence,,a0C8c00000XMMlUEAX
a0I8c00001XiS7gEAF,Leadership,,a0C8c00000XMMd5EAH
a0I8c00001XiS8nEAF,Leadership,,a0C8c00000XMMd5EAH
a0I8c00001XiR95EAF,Les quatre évangiles,,a0C8c00000XMMljEAH
a0I8c00001XiOAtEAN,Les quatre évangiles,,a0C8c00000XMMlkEAH
a0I8c00001XiS3EEAV,Les quatre évangiles,,a0C8c00000XMMljEAH
a0I8c00001XiS27EAF,Les quatre évangiles,,a0C8c00000XMMljEAH
a0I8c00001XiS34EAF,Origines et Histoire d'Israel,,a0C8c00000XMMdJEAX
a0I8c00001XiOJTEA3,Origines et Histoire d'Israel,,a0C8c00000XMMdJEAX
a0I8c00001XiOAoEAN,Origines et histoire d'Israël,,a0C8c00000XMMdqEAH
a0I8c00001XiS1VEAV,Origines et histoire d'Israël,,a0C8c00000XMMdJEAX
a0I8c00001XiOI7EAN,Partager l'Évangile avec les cultures,,a0C8c00000YK1qoEAD
a0I8c00001XiOIOEA3,Participer au ministère pastoral,,a0C8c00000YK1qrEAD
a0I8c00001XiOHdEAN,Participer à l'Histoire,,a0C8c00000YK1qWEAT
a0I8c00001XiOIBEA3,Participer à l'Église,,a0C8c00000YK1qgEAD
a0I8c00001XiO9bEAF,Personnalité humaine I,,a0C8c00000XMMm5EAH
a0I8c00001XiOJHEA3,Personnalité humaine I,,a0C8c00000XMMm4EAH
a0I8c00001XiS1SEAV,Personnalité humaine I,,a0C8c00000XMMm4EAH
a0I8c00001XiS1XEAV,Personnalité humaine II,,a0C8c00000XMMm6EAH
a0I8c00001XiOJMEA3,Personnalité humaine II,,a0C8c00000XMMm6EAH
a0I8c00001XiOI4EAN,Poursuivre Dieu,,a0C8c00000YK1qTEAT
a0I8c00001XiOHwEAN,Prier et rechercher le Saint-Esprit,,a0C8c00000YK1qsEAD
a0I8c00001XiR9KEAV,Principes d'interprétation,,a0C8c00000XMMmOEAX
a0I8c00001XiS3OEAV,Principes d'interprétation,,a0C8c00000XMMmOEAX
a0I8c00001XiS1oEAF,Principes d'interprétation,,a0C8c00000XMMmOEAX
a0I8c00001XiS7uEAF,Prière,,a0C8c00000XMMd0EAH
a0I8c00001XiS21EAF,Projet spécial en counseling biblique,,a0C8c00000XMMmQEAX
a0I8c00001XiOJ4EAN,Projet spécial en counseling biblique,,a0C8c00000XMMmQEAX
a0I8c00001XiS2BEAV,"Prophètes, sages et poètes d'Israël",,a0C8c00000XMMmSEAX
a0I8c00001XiS39EAF,"Prophètes, sages et poètes d'Israël",,a0C8c00000XMMmSEAX
a0I8c00001XiOJ0EAN,"Prophètes, sages et poètes d'Israël",,a0C8c00000XMMmSEAX
a0I8c00001XiS1iEAF,Prédication Biblique,,a0C8c00000XMMbTEAX
