Id,Name,hed__Course_ID__c
a0C8c00000YJgiREAT,Ateliers de Communication,EP9014
a0C8c00000XMMYEEA5,Ateliers de Communication,EP5514
a0C8c00000XMMXKEA5,Bergérologie,EP1515
a0C8c00000XMMifEAH,Bibliologie,BI5100
a0C8c00000XMMX9EAP,Bibliologie,BI1100
a0C8c00000XMMieEAH,Bibliologie,BI1100
a0C8c00000XMMaFEAX,Bibliologie - 1ère partie,BI5100a
a0C8c00000XMMaGEAX,Bibliologie - 2e partie,BI5100b
a0C8c00000XMMZxEAP,Bibliologie (1e partie),BI1100a
a0C8c00000XMMZyEAP,Bibliologie (2ème partie),BI1100b
a0C8c00000XMMbaEAH,Bien réfléchir pour bien agir - Éthique chrétienne,HP6432
a0C8c00000XMMZsEAP,Bâtir un plan pour ta vie-7e priorité,EP1522
a0C8c00000XMMYaEAP,Catholicisme,HP4416
a0C8c00000XMMijEAH,Christologie,TS3306
a0C8c00000XMMikEAH,Christologie,TS7306
a0C8c00000YK8OnEAL,Christologie et sotériologie,TS7320
a0C8c00000YK8OiEAL,Christologie et sotériologie,TS3320
a0C8c00000XMMiiEAH,"Chrétiens, justice, Évangile et justice sociale",HP8810
a0C8c00000XMMigEAH,"Chrétiens, justice, Évangile et justice sociale",HP4410
a0C8c00000XMMihEAH,"Chrétiens, justice, Évangile et justice sociale",HP8410
a0C8c00000YK1qxEAD,Clarté théologique,CBE503
a0C8c00000XMMcCEAX,Coaching,EP2217
a0CON00000Cx2IW2AZ,Coaching 101,EP0100
a0C8c00000YTvveEAD,Coaching 360,EP6218
a0C8c00000YTvvZEAT,Coaching 360,EP2218
a0C8c00000XMMilEAH,Coaching au féminin,EP2514
a0C8c00000XMMimEAH,Coaching au féminin,EP5513
a0C8c00000XMMioEAH,Coaching de prédication,EP5505
a0C8c00000XMMinEAH,Coaching de prédication,EP2505
a0C8c00000XMMaSEAX,Colossiens,NT3211
a0C8c00000XMMZkEAP,Colossiens/Éphésiens,NT3213b
a0C8c00000XMMipEAH,Comment prêcher le sermon sur la montagne,NT2207
a0C8c00000XMMiqEAH,Comment prêcher le sermon sur la montagne,NT7207
a0C8c00000XMMd8EAH,Communauté,IMS703
a0C8c00000XMMYCEA5,Communication,EP5510
a0C8c00000XMMXJEA5,Communication,EP1506
a0C8c00000YJf0EEAT,Communication,IMS509
a0C8c00000YJezvEAD,Communication,EP9010
a0C8c00000YK1qpEAD,Communiquer efficacement,CBE310
a0C8c00000XMMXoEAP,Conducteur de cultes (musique),EP2550
a0C8c00000XMMXWEA5,Conducteurs Église primitive,EP2320
a0C8c00000XMMXrEAP,Conférence musique,EP2560
a0C8c00000XMMXqEAP,Conférence musique 1989,EP2551
a0C8c00000YK1qREAT,Connaître Dieu,CBE103
a0C8c00000YK1qUEAT,Connaître l'Histoire,CBE214
a0C8c00000YK1qQEAT,Connaître l'Évangile,CBE102
a0C8c00000YJjaNEAT,Connaître le Dieu trinitaire,TS2103
a0C8c00000YJjaSEAT,Connaître le Dieu trinitaire,TS6103
a0C8c00000YK1qVEAT,Connaître le Fils,CBE312
a0C8c00000XMMchEAH,Connaître le Tout-Puissant,TS1308
a0C8c00000YK1qeEAD,Connaître qui nous sommes,CBE110
a0C8c00000YK1qdEAD,Connaître son contexte,CBE109
a0C8c00000YK1qtEAD,Connaître son prochain,CBE316
a0C8c00000XMMiuEAH,Contextualisation de l'Évangile,HP7250
a0C8c00000XMMitEAH,Contextualisation de l'Évangile,HP3250
a0C8c00000XMMcGEAX,Contextualisation de l'Évangile,HP9445
a0C8c00000YK1qwEAD,Conviction et recommandation,CBE502
a0CON00002lnbqg2AA,Counseling biblique auprès des enfants et adolescents,EP7560
a0C8c00000XMMivEAH,Counseling biblique auprès des enfants et adolescents,EP3560
a0C8c00000XMMiwEAH,Counseling biblique des enfants et adolescents,EP7560
a0C8c00000XMMixEAH,Counseling biblique ecclésiastique,EP3562
a0C8c00000XMMiyEAH,Counseling biblique ecclésiastique,EP7562
a0C8c00000XMMj0EAH,Counseling biblique I,EP7550
a0C8c00000XMMizEAH,Counseling biblique I,EP3550
a0C8c00000XMMj1EAH,Counseling biblique I,EP9550
a0C8c00000XMMj2EAH,Counseling biblique II,EP3551
